title,home,keywords,publisher,country,classification,subjects
Acta Agrobotanica,https://pbsociety.org.pl/journals/index.php/aa/index,"crops, weeds, urban plants, melliferous plants, nectar, pollination",Polish Botanical Society,Poland,S1-972,Agriculture: Agriculture (General)
Acta Angiologica,https://journals.viamedica.pl/acta_angiologica,"vascular system, aorta, veins, arteries, vascular disease, thrombosis",VM Media sp. z o.o. VM Group sp.k. Grupa Via Medica,Poland,R,Medicine
Acta Asiatica Varsoviensia,http://aav.iksiopan.pl/index.php/en/,asian studies,Foundation Cultivate,Poland,H53,Social Sciences: Social sciences and state - Asia (Asian studies only)
Acta Baltica Historiae et Philosophiae Scientiarum,http://www.bahps.org/acta-baltica,"history of science, philosophy of science, baltic states",Estonian Association of the History and Philosophy of Science,Estonia,D1-2009|B1-5802,History (General) and history of Europe: History (General) | Philosophy. Psychology. Religion: Philosophy (General)
Acta Biochimica Indonesiana,http://jurnal.pbbmi.org/,"biochemistry, molecular biology, bioinformatics, biotechnology",Indonesian Society for Biochemistry and Molecular Biology,Indonesia,QD415-436,Science: Chemistry: Organic chemistry: Biochemistry
Acta Biochimica Polonica,https://ojs.ptbioch.edu.pl/index.php/abp,"molecular biology, biophysics, bioinformatics, biotechnology, pharmacology, biochemistry",Polish Biochemical Society,Poland,QD415-436|QH426-470,Science: Chemistry: Organic chemistry: Biochemistry | Science: Biology (General): Genetics
Acta Biologica,https://wnus.edu.pl/ab/en/,"taxonomy, biogeography, ecology, behaviour, molecular biology, conservation biology",Szczecin University Press,Poland,QH540-549.5,Science: Biology (General): Ecology
Acta Biologica Sibirica,https://abs.pensoft.net/,"biogeography, floristics, faunistics, nature concervation, systematic boiology",Pensoft Publishers,Bulgaria,QH301-705.5,Science: Biology (General)
Acta Biomaterialia Odontologica Scandinavica,https://www.tandfonline.com/toc/iabo21/current,"dentistry, orthodontics, oral biomaterials",Taylor & Francis Group,United Kingdom,RK1-715,Medicine: Dentistry
Acta Botânica Brasílica,https://www.scielo.br/j/abb/,"biological sciences, floristics, biology",Sociedade Botânica do Brasil,Brazil,QK1-989,Science: Botany
Acta Botanica Croatica,http://www.abc.botanic.hr/index.php/abc,"terrestrial botany, aquatic botany, algal taxonomy, plant taxonomy","University of Zagreb, Faculty of Science, Department of Biology",Croatia,QK1-989,Science: Botany
Acta Chimica Slovenica,http://acta.chem-soc.si/,chemistry,Slovenian Chemical Society,Slovenia,QD1-999,Science: Chemistry
Acta Cirúrgica Brasileira,https://www.scielo.br/j/acb/,"health sciences, surgery, laser therapy",Sociedade Brasileira para o Desenvolvimento da Pesquisa em Cirurgia,Brazil,RD1-811,Medicine: Surgery
Acta Clinica Croatica,https://hrcak.srce.hr/acta-clinica-croatica,"general medicine, clinical medicine, biomedicine","Sestre Milosrdnice University hospital, Institute of Clinical Medical Research",Croatia,R,Medicine
Acta Commercii,https://actacommercii.co.za/index.php/acta,"management, business ethics, corporate governance, organisational behaviour",AOSIS,South Africa,HD28-70|HF5001-6182,Social Sciences: Industries. Land use. Labor: Management. Industrial management | Social Sciences: Commerce: Business
Acta Crystallographica Section E,https://journals.iucr.org/e/,"crystal structure determination, crystal engineering, structural chemistry",International Union of Crystallography,United Kingdom,QD901-999,Science: Chemistry: Crystallography
Acta Crystallographica Section E: Crystallographic Communications,https://journals.iucr.org/e/,"crystal structure determination, structural chemistry, crystal engineering",International Union of Crystallography,United Kingdom,QD901-999,Science: Chemistry: Crystallography
Acta Dermato-Venereologica,https://medicaljournalssweden.se/actadv,"sexually transmitted infections, psoriasis, psychodermatology, skin immunology, skin cancer",Medical Journals Sweden,Sweden,RL1-803,Medicine: Dermatology
Acta Didactica Napocensia,http://adn.teaching.ro/,"didactics of sciences, didactics of mathematics, didactics of computer science, computer assisted teaching, educational sciences","Babes-Bolyai University, Cluj-Napoca",Romania,L7-991,Education: Education (General)
Acta Economica,http://ae.ef.unibl.org,"economics, management","University of Banja Luka, Faculty of Economics",Bosnia and Herzegovina,HB71-74,Social Sciences: Economic theory. Demography: Economics as a science
Acta Educationis Generalis,https://sciendo.com/journal/ATD,"theory and history of education, social pedagogy, social work",Sciendo,Poland,L,Education
Acta Electrotechnica et Informatica,http://aei.tuke.sk/,"electrical engineering, informatics, artificial intelligence",Technical University of Kosice,Slovakia,TK1-9971,Technology: Electrical engineering. Electronics. Nuclear engineering
Acta Epileptologica,https://aepi.biomedcentral.com/,"epilepsy, seizure, epileptogenesis",BMC,United Kingdom,RC346-429,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system
Acta Facultatis Educationis Physicae Universitatis Comenianae,https://sciendo.com/journal/AFEPUC,"kinesiology, exercise physiology, physical education, sports training, recreation, sports history and psychology",Sciendo,Poland,GV557-1198.995,Geography. Anthropology. Recreation: Recreation. Leisure: Sports
Acta Futura,https://www.esa.int/gsp/ACT/resources/acta_futura/,"space, advanced space concpets, spaceships, advanced technologies","European Space Agency, Advanced Concepts Team",Netherlands,T|TL1-4050,Technology: Motor vehicles. Aeronautics. Astronautics
Acta Fytotechnica et Zootechnica,http://acta.fapz.uniag.sk/journal/index,"plant production, animal production, plant and animal biotechnology, plant and animal genetics, cell and molecular biology, veterinary sciences",Slovak University of Agriculture in Nitra,Slovakia,S|S1-972,Agriculture: Agriculture (General)
Acta Geobalcanica,http://acta.geobalcanica.info/,"geography, gis, hydrology, human geography, physical geography, geoinformation",Geobalcanica Society,North Macedonia,G1-922,Geography. Anthropology. Recreation: Geography (General)
Acta Geographica Debrecina: Landscape and Environment Series,http://geo.science.unideb.hu/acta/landsenv,"environmental aspects, landscape metrics, land use changes, landscape evaluation, investigation of environmental elements, human impacts",University of Debrecen,Hungary,GE1-350|QH540-549.5,Geography. Anthropology. Recreation: Environmental sciences | Science: Biology (General): Ecology
Acta Gymnica,http://gymnica.upol.cz,"kinanthropology, public health, biomechanics, sports sciences, physiotherapy, exercise physiology",Palacký University Olomouc,Czechia,RC1200-1245,Medicine: Internal medicine: Special situations and conditions: Sports medicine
Acta Herpetologica,https://oaj.fupress.net/index.php/ah,"amphibians, reptiles",Firenze University Press,Italy,QL1-991,Science: Zoology
Acta Ichthyologica et Piscatoria,https://aiep.pensoft.net/,"ichthyology, fisheries, fish diseases, parasitology, aquaculture nutrition, seafood science",Pensoft Publishers,Bulgaria,SH1-691,Agriculture: Aquaculture. Fisheries. Angling
Acta IMEKO,https://acta.imeko.org/index.php/acta-imeko/index,"instrumentation, measurement, electrical engineering, electronic engineering, mechanical engineering, imeko",IMEKO,Hungary,Q1-390|S1-972|T|H1-99,Science: Science (General) | Agriculture: Agriculture (General) | Technology | Social Sciences: Social sciences (General)
Acta Informatica Malaysia,https://actainformaticamalaysia.com/,"information science, knowledge management",Zibeline International,Malaysia,ZA3040-5185,Bibliography. Library science. Information resources: Information resources (General)
Acta Innovations,http://www.proakademia.eu/en/acta-innovations/,"innovation network, technology transfer, sustainable transport, energy sufficient buildings, renewable energies",Research and Innovation Centre Pro-Akademia,Poland,T1-995|HD45-45.2,Technology: Technology (General) | Social Sciences: Industries. Land use. Labor: Management. Industrial management: Technological innovations. Automation
Acta Limnologica Brasiliensia,https://www.scielo.br/j/alb/,"limnology, freshwater biology, aquatic ecology, ecotoxicology",Associação Brasileira de Limnologia,Brazil,QH540-549.5,Science: Biology (General): Ecology
Acta Logistica,http://www.actalogistica.eu,"logistics, transport, management, education","4S go, s.r.o.",Slovakia,TA1001-1280,Technology: Engineering (General). Civil engineering (General): Transportation engineering
Acta Marisiensis - Seria Medica,https://sciendo.com/journal/AMMA,"medicine, dental medicine, internal medicine, clinical medicine",Sciendo,Poland,R,Medicine
Acta Marisiensis: Seria Technologica,http://scientificbulletin.upm.ro/,"it&c applications in engineering, mathematics, mechanical engineering, technological engineering, electrical engineering, it&c applications in engineering",University Press,Romania,TA1-2040,Technology: Engineering (General). Civil engineering (General)
Acta Mechatronica,http://actamechatronica.eu,"mechatronics, mechanical engineering, systems thinking, mechanics, electronics, optics","4S go, s.r.o.",Slovakia,TJ1-1570,Technology: Mechanical engineering and machinery
Acta Medica,http://actamedica.lfhk.cuni.cz/,"medicine, health science",Karolinum Press,Czechia,R,Medicine
Acta Medica Academica,http://www.ama.ba,"medicine, public health, biomedical research",Academy of Sciences and Arts of Bosnia and Herzegovina,Bosnia and Herzegovina,R5-920,Medicine: Medicine (General)
Acta Medica Bulgarica,https://sciendo.com/journal/AMB,"medicine, internal medicine, medical science, dentistry, pharmacology",Sciendo,Poland,R,Medicine
Acta Medica Indonesiana,http://actamedindones.org/index.php/ijim/index,internal medicine,Interna Publishing,Indonesia,RC31-1245,Medicine: Internal medicine
Acta Medica International,http://www.actamedicainternational.com/aboutus.asp,"medicine, medical science",Wolters Kluwer Medknow Publications,India,R,Medicine
Acta Medica Iranica,http://acta.tums.ac.ir/,"biomedical sciences, clinical medicine",Tehran University of Medical Sciences,"Iran, Islamic Republic of",R5-920,Medicine: Medicine (General)
Acta Medica Lituanica,https://www.journals.vu.lt/AML/,"medicine, biomedicine",Vilnius University Press,Lithuania,R,Medicine
Acta Medica Martiniana,https://sciendo.com/journal/ACM,"medicine, biomedicine, nursing",Sciendo,Poland,R,Medicine
Acta Medica Medianae,http://www.medfak.ni.ac.rs/amm,"medical science, peer-reviewed scientific journal, clinical research, experimental research, original papers and reviews","University in Nis, Faculty of Medicine",Serbia,R,Medicine
Acta Medica Transilvanica,http://www.amtsibiu.ro/,"public health, clinical medicine, surgery, occupational health, environmental health, dentistry",Fundatia pentru Sanatate Publica si Managementul Sanatatii,Romania,RA1-1270,Medicine: Public aspects of medicine
Acta Metallurgica Slovaca,https://journal-ams.org/,"metallurgy, metallurgical engineering, materials science, metals and alloys",SciCell s.r.o.,Slovakia,TN1-997,Technology: Mining engineering. Metallurgy
Acta Mycologica,https://pbsociety.org.pl/journals/index.php/am/index,"mycology, micromycetes, marcomycetes, slime moulds, symbiosis, mycopathology",Polish Botanical Society,Poland,QH301-705.5,Science: Biology (General)
Acta Neuropathologica Communications,http://actaneurocomms.biomedcentral.com,"pathology, nervous system, skeletal muscle disorders, neurological disease",BMC,United Kingdom,RC346-429,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system
Acta Orthopaedica,https://actaorthop.org/,orthopaedics,Medical Journals Sweden,Sweden,RD701-811,Medicine: Surgery: Orthopedic surgery
Acta Orthopaedica et Traumatologica Turcica,http://www.aott.org.tr/,"orthopedics, traumatology",AVES,Turkey,RD701-811,Medicine: Surgery: Orthopedic surgery
Acta Oto-Laryngologica Case Reports,http://www.tandfonline.com/ICRO,"otorhinolaryngology, head and neck surgery",Taylor & Francis Group,United Kingdom,RF1-547|RD1-811,Medicine: Otorhinolaryngology | Medicine: Surgery
Acta Palaeobotanica,https://acpa.botany.pl/,"palaeobotany, palynology, palaeoecology, palaeophytogeography, archaeobotany","W. Szafer Institute of Botany, Polish Academy of Sciences",Poland,QE701-760|QK1-989,Science: Geology: Paleontology | Science: Botany
Acta Palaeontologica Polonica,http://www.app.pan.pl/,"paleobiology, geobiology, evolution, fossils, paleoecology, palaeology",Institute of Paleobiology PAS,Poland,GN282-286.7|QE701-760,Geography. Anthropology. Recreation: Anthropology: Physical anthropology. Somatology: Human evolution: Fossil man. Human paleontology | Science: Geology: Paleontology
Acta Periodica Duellatorum,https://bop.unibe.ch/apd/index,"european martial arts, history of sport, martial culture, martial arts studies, europe, fight book",Bern Open Publishing,Switzerland,GV557-1198.995|D,Geography. Anthropology. Recreation: Recreation. Leisure: Sports | History (General) and history of Europe
Acta Periodica Technologica,http://www.doiserbia.nb.rs/journal.aspx?issn=1450-7188,materials,"Faculty of Technology, Novi Sad",Serbia,T1-995,Technology: Technology (General)
Acta Pharmaceutica,https://sciendo.com/journal/ACPH,"biomedicine, pharmaceutical and related sciences",Sciendo,Poland,HD9665-9675,Social Sciences: Industries. Land use. Labor: Special industries and trades: Pharmaceutical industry
Acta Pharmaceutica Sinica B,http://www.journals.elsevier.com/acta-pharmaceutica-sinica-b,"pharmaceutical science, traditional chinese medicine, pharmaceutics, pharmaceutical chemistry, pharmacokinetics",Elsevier,Netherlands,RM1-950,Medicine: Therapeutics. Pharmacology
Acta Polytechnica,https://ojs.cvut.cz/ojs/index.php/ap/index,"engineering, physics, mathematics, computer science",CTU Central Library,Czechia,TA1-2040,Technology: Engineering (General). Civil engineering (General)
Acta Polytechnica CTU Proceedings,https://ojs.cvut.cz/ojs/index.php/APP,"engineering, physics, mathematics, computer science",CTU Central Library,Czechia,TA1-2040,Technology: Engineering (General). Civil engineering (General)
Acta Psychologica,https://www.journals.elsevier.com/acta-psychologica,"clinical psychology, health psychology, cognition, language",Elsevier,Netherlands,BF1-990,Philosophy. Psychology. Religion: Psychology
Acta Radiologica Open,https://journals.sagepub.com/home/arr,"clinical radiology, case reports, diagnostic radiology, interventional radiology, imaging procedures",SAGE Publishing,United Kingdom,R895-920,Medicine: Medicine (General): Medical physics. Medical radiology. Nuclear medicine
Acta Radiologica Short Reports,http://arr.sagepub.com/content/by/year,"radiology, interventional radiology, imaging",SAGE Publishing,United Kingdom,R895-920,Medicine: Medicine (General): Medical physics. Medical radiology. Nuclear medicine
Acta Scientiarum Polonorum Zootechnica,http://asp.zut.edu.pl/,"animal welfare, animal science, livestock genetics, animal reproduction, farm animals management, animal nutrition",West Pomeranian University of Technology,Poland,SF1-1100,Agriculture: Animal culture
Acta Scientiarum Polonorum. Administratio Locorum,https://czasopisma.uwm.edu.pl/index.php/aspal,"regional planning, socio-economic geography, geosciences, environmental studies, civil engineering, law",Wydawnictwo Uniwersytetu Warmińsko-Mazurskiego w Olsztynie,Poland,HD1286-1339|HT388,Social Sciences: Industries. Land use. Labor: Land use: Land tenure | Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology: Regional economics. Space in economics
Acta Scientiarum: Agronomy,https://periodicos.uem.br/ojs/index.php/ActaSciAgron,"agronomy, plant science, soil science",Eduem (Editora da Universidade Estadual de Maringá),Brazil,S1-972,Agriculture: Agriculture (General)
Acta Scientiarum: Animal Sciences,http://www.scielo.br/scielo.php?script=sci_serial&pid=1807-8672&lng=en&nrm=iso,"animal production, genetics",Editora da Universidade Estadual de Maringá (Eduem),Brazil,SF1-1100,Agriculture: Animal culture
Acta Scientiarum: Biological Sciences,https://periodicos.uem.br/ojs/index.php/ActaSciBiolSci/index,"botany, limnology, microbiology",Universidade Estadual de Maringá,Brazil,QH301-705.5|QR1-502,Science: Biology (General) | Science: Microbiology
Acta Scientifica Malaysia,https://actascientificamalaysia.com/,"art, subatomic chemistry, mathematical, physical sciences",Zibeline International,Malaysia,Q|Q1-390,Science: Science (General)
Acta Simulatio,http://actasimulatio.eu,"simulation, modelling, plm systems, computer simulation, industry simulation, systems","4S go, s.r.o.",Slovakia,QA75.5-76.95,Science: Mathematics: Instruments and machines: Electronic computers. Computer science
Acta Societatis Botanicorum Poloniae,https://pbsociety.org.pl/journals/index.php/asbp/index,"botany, plant biology, plant science",Polish Botanical Society,Poland,QK1-989,Science: Botany
Acta Stomatologica Marisiensis,https://sciendo.com/journal/ASMJ,"dentistry, oral rehabilitation, interdisciplinarity, dental materials",Sciendo,Poland,RK1-715,Medicine: Dentistry
Acta Structilia,http://journals.ufs.ac.za/index.php/as,"construction management, building economy, construction project management, property development, quantity surveying, architecture",University of the Free State,South Africa,TH1-9745,Technology: Building construction
Acta Technica Corviniensis,http://acta.fih.upt.ro/,"technology, engineering",University Politehnica Timisoara,Romania,TA1-2040,Technology: Engineering (General). Civil engineering (General)
Acta Technica Jaurinensis,https://acta.sze.hu/index.php/acta,"engineering, transportation, civil engineering, mechanical engineering, electrical engineering, information technology",Széchenyi István University,Hungary,T,Technology
Acta Technologica Agriculturae,https://sciendo.com/journal/ATA,"agricultural engineering, machines and equipment, quality of products, statistics",Sciendo,Poland,S1-972,Agriculture: Agriculture (General)
Acta Tecnología,http://actatecnologia.eu,"technology, technics, industry, education","4S go, s.r.o.",Slovakia,T,Technology
Acta Theologica,https://journals.ufs.ac.za/index.php/at,"theology, religion, biblical studies, ministry, christian theology",University of the Free State,South Africa,BR1-1725|BV4485-5099,Philosophy. Psychology. Religion: Christianity | Philosophy. Psychology. Religion: Practical Theology: Practical religion. The Christian life
Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis,https://actavia.mendelu.cz/,"agriculture, forestry, animal husbandry, animal science, agricultural economics, agricultural sciences",Mendel University Press,Czechia,S|QH301-705.5,Agriculture | Science: Biology (General)
Acta Universitatis Carolinae Geographica,http://aucgeographica.cz,"geography, demography, regional development",Karolinum Press,Czechia,G|HB848-3697,Geography. Anthropology. Recreation | Social Sciences: Economic theory. Demography: Demography. Population. Vital events
Acta Universitatis Carolinae: Kinanthropologica,https://karolinum.cz/casopis/auc-kinanthropologica,"sports, health, education",Karolinum Press,Czechia,GV557-1198.995|RC1200-1245,Geography. Anthropology. Recreation: Recreation. Leisure: Sports | Medicine: Internal medicine: Special situations and conditions: Sports medicine
Acta Universitatis Cibiniensis. Series E: Food Technology,https://sciendo.com/journal/AUCFT,"food technology, food science, food engineering, food chemistry, biotechnology, environmental science",Sciendo,Poland,TP368-456,Technology: Chemical technology: Food processing and manufacture
Acta Universitatis Palackianae Olomucensis. Gymnica,http://gymnica.upol.cz,"kinanthropology, public health, biomechanics, physiotherapy, sports science, physical education",Palacky University,Czechia,RC1200-1245,Medicine: Internal medicine: Special situations and conditions: Sports medicine
Acta Universitatis Sapientiae: Agriculture and Environment,https://sciendo.com/journal/AUSAE,"agriculture, plant breeding and protection, environmental management, protection and evaluation",Sciendo,Poland,S,Agriculture
Acta Universitatis Sapientiae: Alimentaria,https://sciendo.com/journal/AUSAL,"food science, food analysis, functional foods, food technology, food chemistry, food processing",Sciendo,Poland,TP368-456,Technology: Chemical technology: Food processing and manufacture
Acta Universitatis Sapientiae: Economics and Business,https://sciendo.com/journal/AUSEB,"management, marketing, agricultural economics, regional development, finance",Sciendo,Poland,HF5001-6182|HB1-3840,Social Sciences: Commerce: Business | Social Sciences: Economic theory. Demography
Acta Universitatis Sapientiae: European and Regional Studies,https://sciendo.com/journal/AUSEUR,"european affairs, political science, minorities, regionalism",Sciendo,Poland,J,Political science
Acta Universitatis Sapientiae: Film and Media Studies,https://sciendo.com/journal/AUSFM,"film studies, film history, film analysis, film theory, media studies, intermediality",Sciendo,Poland,N1-9211,Fine Arts: Visual arts
Acta Universitatis Sapientiae: Informatica,https://sciendo.com/journal/AUSI,"computer science, algorithms, combinatorics, graphs and networks, optimization",Sciendo,Poland,QA75.5-76.95,Science: Mathematics: Instruments and machines: Electronic computers. Computer science
Acta Universitatis Sapientiae: Mathematica,https://sciendo.com/journal/AUSM,"mathematical analysis, computer science, probability theory, pure and applied algebra, differential equations, combinatorics",Sciendo,Poland,QA1-939,Science: Mathematics
Acta Universitatis Sapientiae: Philologica,https://sciendo.com/journal/AUSP,"literature, linguistics, applied linguistics, philology, cultural studies",Sciendo,Poland,P1-1091,Language and Literature: Philology. Linguistics
